"8 and more symbols","8 и более символов"
"About Us","О нас"
"About seller:","О продавце:"
"Accessories","Аксессуары"
"Add all products to cart","Добавить все товары в корзину"
"Add review","Добавить отзыв"
"Add your favorite products to the basket!","Добавляйте понравившиеся товары в корзину!"
"All products are in stock","В наличии все товары"
"All rights reserved.","Все права защищены."
"All seller items","Все товары продавца"
"An error occured while loading the component.","Произошла ошибка при загрузке компонента."
"Black","Черный"
"Blue","Синий"
"Brown","Коричневый"
"Buy in credit","Купить в кредит"
"Buy","Купить"
"Cash on delivery","Оплата при получении"
"Catalog of products","Каталог товаров"
"Catalog","Каталог"
"Checkout","Оформление заказа"
"Choose your city","Выберите ваш город"
"Choose your country","Выберите вашу страну"
"Clear wishlist","Очистить список желаний"
"Columns","Колонки"
"Company","Компания"
"Compare products","Сравнение товаров"
"Component couldn't be loaded due to lack of network connectivity.","Не удалось загрузить компонент из-за отсутствия сетевого подключения."
"Computers and laptops","Компьютеры и ноутбуки"
"Configure","Настройка"
"Confirmation of an order","Подтверждение заказа"
"Consultation by telephone","Консультация по телефону"
"Contact details","Контактные данные"
"Contact","Связаться"
"Continue shopping","Продолжить покупки"
"Courier delivery","Доставка Курьером"
"Covers, protective glass, memory cards","Чехлы, защитное стекло, карты памяти"
"Cyan","Голубой"
"Description of the action","Описание акции"
"Discount on accessories","Скидка на аксессуары"
"Enter promotional code","Применить промокод"
"First","Сначала"
"Free from landlines and","Бесплатно со стационарных и"
"Free of charge from landlines and mobile phones in Ukraine","Бесплатно со стационарных и мобильных телефонов в Украине"
"Gadgets","Гаджеты"
"Golden","Золотой"
"Grand Total","Сумма"
"Green","Зеленый"
"Grey","Серый"
"Headphones and headsets, cases, chargers","Наушники и гарнитуры, чехлы, зарядные устройства"
"Homepage","Главная"
"How do you want to receive your order?","Как хотите получить ваш заказ?"
"I want to receive a newsletter, and agree to its terms",Я хочу подписаться на новостную рассылку и соглашаюсь с условиями ее получения
"In credit","В кредит"
"In stock","В наличии"
"In the near future we will call you back to clarify the details. Have a nice day!)","В ближайшее время мы вам перезвоним для уточнения деталей. Прекрасного дня!)"
"Instant Checkout","Моментальный заказ"
"Last name must have at least 2 letters.","Фамилия должна состоять минимум из 2-х букв"
"Latest","Недавние"
"Latin letters and numbers","Латинские буквы и цифры"
"May suit you","Вам может подойти"
"Mon-Fri: 08: 00-20: 00; Sat: 10: 00-18: 00; Sun: 11: 00-17: 00","Пн-ПТ: 08:00-20:00; Сб: 10:00-18:00; Вс:11:00-17:00"
"Multi","Многоцветный"
"My Order","Мой заказ"
"Name must have at least 2 letters.","Имя должно состоять минимум из 2-х букв"
"No reviews have been posted yet. Please don't hesitate to share Your opinion and write the first review!","Пока нет ни одного отзыва. Пожалуйста, не стесняйтесь поделиться своим мнением и написать первый отзыв!"
"Not available","Нет в наличии"
"Nothing to show","магазинов не найдено"
"Novaya Pochta(Branch)","Новая Почта(Отделение)"
"Olive","Оливковый"
"Orange","Оранжевый"
"Our shares","Наши акции"
"Own account","Собсветнный счет"
"PC, notebooks, tablets","ПК, ноутбуки та планшеты"
"PCs, computers, accessories, monitors","ПК, компьютеры, аксессуары, мониторы"
