"About Us","Про нас"
"Accessories","Аксесуари"
"Add your favorite products to the basket!","Додавайте товари, що сподобалися в кошик!"
"All rights reserved.","Всі права захищені."
"An error occured while loading the component.","Сталася помилка під час завантаження компонента."
"Buy","Купити"
"Catalog of products","Каталог товарів"
"Catalog","Каталог"
"Checkout","Оформлення замовлення"
"Choose your country","Виберіть вашу країну"
"Company","Компанія"
"Component couldn't be loaded due to lack of network connectivity.","Не вдалося завантажити компонент через відсутність мережевого підключення."
"Computers and laptops","Комп'ютери та ноутбуки"
"Confirmation of an order","Підтвердження замовлення"
"Contact details","Контактні дані"
"Contact","Зв'язатися"
"Continue shopping","Продовжити покупки"
"Courier delivery","Доставка Кур'єром"
"Enter promotional code","Ввести промокод"
"First","Спочатку"
"Free from landlines and","Безкоштовно зі стаціонарних і"
"Gadgets","Гаджети"
"Headphones and headsets, cases, chargers","Навушники та гарнітури, чохли, зарядні пристрої"
"How do you want to receive your order?","Як хочете отримати ваше замовлення?"
"I want to receive a newsletter, and agree to its terms",Я хочу підписатися на розсилку новин і погоджуюсь з умовами її отримання
"In stock","В наявності"
"In the near future we will call you back to clarify the details. Have a nice day!)","Найближчим часом ми вам передзвонимо для уточнення деталей. Прекрасного дня!)"
"May suit you","Вам може підійти"
"Not available","Немає в наявності"
"Novaya Pochta(Branch)","Нова Пошта(Відділення)"
"Our shares","Наші акції"
"Own account","Особистий рахунок"
"PCs, computers, accessories, monitors","ПК, комп'ютери, аксесуари, монітори"
"PROMOCODE","ПРОМОКОД"
"Payment and delivery","Оплата і доставка"
"Payments and loans","Виплати і кредити"
"Pickup from the store","Самовивіз з магазину"
"Popular categories","Популярні категорії"
"Promotions","Акції"
"Public offer","Публічна оферта"
"Sales leaders","Лідери продажу"
"See all","Дивитися всі"
"Service centres","Сервісні центри"
"Smart watches, Cameras, Fitness bracelets","Розумні годинники, фотоапарати, фітнес-браслети"
"Smartphones","Смартфони"
"TV and audio","ТБ та аудіо"
"Thank!","Дякуємо!"
"The shops","Магазини"
"To apply","Застосувати"
"To customers","Клієнтам"
"To landlords","Орендодавцям"
"To pay","Оплатити"
"Total","Всього"
"Try again","Спробуйте знову"
"Use promotional code","Використання промокодом"
"Vacancies","Вакансії"
"Warranty, Exchange, Return","Гарантія, обмін, повернення"
"We accept","Ми приймаємо"
"Your cart","Ваша корзина"
"Your order","Ваше замовлення"
"already going )","вже збирається )"
"camerares_filter","Роздільна здатність основної камери"
"cores_filter","Кількість ядер процесора"
"dyagonal_ekrana_filter","Діагональ екрану"
"emkost_akkumulyatora_mach_filter","Ємність акумулятора"
"from 35 uah","від 35 грн"
"from 55 uah","від 55 грн"
"frontalnaya_kamera_mp_filter","Фронтальна камера"
"is free","безкоштовно"
"manufacturer_filter":"Виробник"
"material_korpusu_filter","Матеріал корпусу"
"mobile phones in Ukraine","мобільних телефонів в Україні"
"obem_operatyvnoj_pamyaty_filter","Об'єм оперативної пам'яті"
"obem_vstroennoj_pamyaty_filter","Об'єм вбудованої пам'яті"
"operatsyonnaya_systema_filter","Операційна система"
"pc.","шт."
"sim_filter","Кількість SIM-карт"
"slot_dlya_karty_pamyaty_filter","Слот для карти пам'яті"
"st.","вул."
"the Payment","Оплата"
About us,Про нас
Accepts only alphabet characters.,Використовуйте тільки букви алфавіту
Add a discount code,Код купона
Add discount code,Застосувати купон
Add to cart,Додати у кошик
Add to compare,Додати для порівняння
Add to favorite,Додати в обране
Author,Автор
Authorization in progress ...,Виконується авторизація ...
Back to login,Повернутися на сторінку авторизації
Back,Назад
Billing address,Платіжна адреса
Cancel,Скасувати
Change my password,Змінити пароль
City *,Місто *
City,Місто
Close,Закрити
Company name *,Назва компанії *
Contact us,Контакти
Continue to payment,Перейти до оплати
Continue to shipping,Оформити доставку
Copy address data from shipping,Скопіювати адресні дані з доставки
Country *,Країна *
Country,Країна
Create a new account,Створити новий обліковий запис
Current password *,Поточний пароль
Customer service,Служба підтримки
Date and time,Дата та час
Delivery,Доставка
Departments,Відділення
Discount code,Купон на знижку
Discount,Знижка
Don't hesitate and,Не вагайтесь і
E-mail address *,Електронна адреса *
Edit newsletter preferences,Змінити вподобання з тематики новин
Edit payment,Змінити платіж
Edit personal details,Змінити особисту інформацію
Edit shipping,Змінити доставку
Edit your profile,Редагувати профіль
Edit your shipping details,Змінити дані доставки
Edit,Змінити
Email address *,Електронна адреса *
Email address,Електронна адреса
Enter your email to receive instructions on how to reset your password.,"Введіть адресу електронної пошти, щоб отримати інструкцію зі зміни пароля."
Erin recommends,Erin рекомендує
Error while sending reset password e-mail,Сталася помилка при відправленні даних зі зміни пароля на електронну пошту
Everything new,новинки
Field is required,Обов'язкове поле
Filter,Фільтр
Filters,Фільтри
First name *,Ім`я *
First name,Ім'я
Forgot the password?,Забули пароль?
General agreement,Генеральна угода
Get inspired,Для натхнення
Go review the order,Переглянути замовлення
Go to Facebook,Facebook
Go to Instagram,Instagram
Go to Pinterest,Pinterest
Go to Youtube,Youtube
Go to checkout,Оформити замовлення
Help,Допомога
Home,Головна
House/Apartment number *,Номер будинку/квартири *
House/Apartment number,Номер будинку/квартири
I accept ,Я приймаю
I accept terms and conditions,Я приймаю умови угоди
I agree to,Я згоден з
I have a company and want to receive an invoice for every order,У мене є компанія і я хочу отримувати рахунок до кожного замовлення
I want to create an account',Я хочу створити обліковий запис '
I want to create an account,Я хочу створити обліковий запис
I want to generate an invoice for the company,Я хочу створити рахунок для компанії
If you need an assistance you can drop us a line on,"Якщо Вам потрібна допомога, напишіть нам"
Items ordered,Замовлені товари
Kidswear,Дитячий одяг
Last name *,Прізвище *
Last name,Прізвище
Legal notice,Офіційне повідомлення
Log in to your account,Увійти в обліковий запис
Log in,Увійти
